weight,quantity,unit,supplier,material_id,quality,grade,thickness_mm,width_mm,description_i18n,finish_i18n,composition,additional_info,coating,length_mm
3602,,KG,source1,33b4266acdd32224d8d2bfcf8fb32deb,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0004, 'Cr': 0.17, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.412, 'Mo': 0.015, 'N': 0.0037, 'Nb': 0.002, 'Ni': 0.024, 'P': 0.0102, 'Si': 0.219, 'Sn': 0.003, 'STA': 0, 'Ti': 0.00232, 'V': 0.002, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
3602,,KG,source1,33b4266acdd32224d8d2bfcf8fb32deb,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0004, 'Cr': 0.17, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.412, 'Mo': 0.015, 'N': 0.0037, 'Nb': 0.002, 'Ni': 0.024, 'P': 0.0102, 'Si': 0.219, 'Sn': 0.003, 'STA': 0, 'Ti': 0.00232, 'V': 0.002, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
22080,1.0,KG,source2,36ed27b9af20d4c91b4c193158174627,,,,,{'en': 'Tension  actualy fisrt choice - Teardrop Coil thickness 5 - 7mm'},{'de': None},{},"{'additional': None, 'article_id': None}",,
1700,1.0,KG,source2,370a363fffc1a5d143a4e0cf710a419b,,S235JR,2.5,1465.0,{'en': 'little coil '},{'de': 'geolied'},{},"{'additional': None, 'article_id': None}",,
1730,1.0,KG,source2,385999fccce611a24ba491a57ef25b94,,,,,{'en': 'little coil '},{'de': None},{},"{'additional': None, 'article_id': None}",,
3375,2.0,KG,source2,38d61468a9fb92758c9b81775fc5c6a5,,S350GD,3.0,165.0,"{'nl': '2A CORROSIE (roest; witroest) ', 'en': ' Corrosion (Rust, White Rust) '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
3375,2.0,KG,source2,38d61468a9fb92758c9b81775fc5c6a5,,S350GD,3.0,165.0,"{'nl': '2A CORROSIE (roest; witroest) ', 'en': ' Corrosion (Rust, White Rust) '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
3375,2.0,KG,source2,38d61468a9fb92758c9b81775fc5c6a5,,S350GD,3.0,165.0,"{'nl': '2A CORROSIE (roest; witroest) ', 'en': ' Corrosion (Rust, White Rust) '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
3410,2.0,KG,source2,38d61468a9fb92758c9b81775fc5c6a5,,S350GD,3.0,165.0,"{'nl': '2A CORROSIE (roest; witroest) ', 'en': ' Corrosion (Rust, White Rust) '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
3410,2.0,KG,source2,38d61468a9fb92758c9b81775fc5c6a5,,S350GD,3.0,165.0,"{'nl': '2A CORROSIE (roest; witroest) ', 'en': ' Corrosion (Rust, White Rust) '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
3410,2.0,KG,source2,38d61468a9fb92758c9b81775fc5c6a5,,S350GD,3.0,165.0,"{'nl': '2A CORROSIE (roest; witroest) ', 'en': ' Corrosion (Rust, White Rust) '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
3390,2.0,KG,source2,38d61468a9fb92758c9b81775fc5c6a5,,S350GD,3.0,165.0,"{'nl': '2A CORROSIE (roest; witroest) ', 'en': ' Corrosion (Rust, White Rust) '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
3390,2.0,KG,source2,38d61468a9fb92758c9b81775fc5c6a5,,S350GD,3.0,165.0,"{'nl': '2A CORROSIE (roest; witroest) ', 'en': ' Corrosion (Rust, White Rust) '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
3390,2.0,KG,source2,38d61468a9fb92758c9b81775fc5c6a5,,S350GD,3.0,165.0,"{'nl': '2A CORROSIE (roest; witroest) ', 'en': ' Corrosion (Rust, White Rust) '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
14490,,KG,source1,3936cc522fdf33181b13db757b91b88c,2nd,C100S,2.251,1031.5,{'de': 'Längs- oder Querrisse'},{'de': 'gebeizt und geglüht'},"{'AG': 15.05, 'Al': 0.007, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0006, 'Cr': 0.188, 'S': 0.0015, 'Cu': 0.008, 'Mn': 0.465, 'Mo': 0.007, 'N': 0.004, 'Nb': 0.004, 'Ni': 0.015, 'P': 0.012, 'Si': 0.221, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00285, 'V': 0.003, 'Zr': 0.002}","{'RP02': 368.9, 'RM': 606.2}",,
11280,,KG,source3,3eabc040ccbf4aad8ab9c09b1115b8cc,,CR,0.65,1437,{'fr': 'CR 0.65x1437 X-ES A O'},{'fr': 'A'},{},"{'additional': 'O', 'supplier_article': 11007896, 'supplier_id': 2121522}",X-ES,
4163,,KG,source1,41d31d5969a01fe1e5622b5136ad85c8,2nd,C100S,2.23,1079.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.007, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0006, 'Cr': 0.188, 'S': 0.0015, 'Cu': 0.008, 'Mn': 0.465, 'Mo': 0.007, 'N': 0.004, 'Nb': 0.004, 'Ni': 0.015, 'P': 0.012, 'Si': 0.221, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00285, 'V': 0.003, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
2022,27.0,KG,source2,43e977c2f1033f535b52b8d0472b4fdd,,S320GD,3.0,1250.0,{'en': 'ugly surface '},{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",Z275,2500.0
510,1.0,KG,source2,46fa4ec96908b0e898a1abe63def0dbe,,DX51D,0.6,70.0,"{'nl': 'Te veel sabel voor klant om te kunnen verwerken ', 'en': ' Too much sable formation '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",Z140,
7960,,KG,source3,4815e74a6af90baf6265d6608b044b5e,,CR,0.65,1437,{'fr': 'CR 0.65x1437 X-ES A O'},{'fr': 'A'},{},"{'additional': 'O', 'supplier_article': 36000107, 'supplier_id': 2292729}",X-ES,
12300,,KG,source3,49790c5a312850c7cc195b4546490f62,,CR,1.5,1410,{'fr': 'CR 1.5x1410 XE360D A O'},{'fr': 'A'},{},"{'additional': 'O', 'supplier_article': 11010359, 'supplier_id': 2197778}",XE360D,
1320,,KG,source3,4f35bd1e2fa815e2ff516968f9ba5ffa,,DRP,1.8,420,{'fr': 'DRP 1.8x420x121 YMAGINE H500 O'},{'fr': 'H500'},{},"{'additional': 'O', 'supplier_article': 13012123, 'supplier_id': 1810363}",YMAGINE,121
10740,,KG,source3,52f916a7e893039b1621b9177002cf56,,CR,1.25,1088,{'fr': 'CR 1.25x1088 E40 A O'},{'fr': 'A'},{},"{'additional': 'O', 'supplier_article': 11020045, 'supplier_id': 2141151}",E40,
7208,,KG,source1,5772a1025e64585f8deb44a3f56b59c7,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
7208,,KG,source1,5772a1025e64585f8deb44a3f56b59c7,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
