quality,grade,thickness_mm,width_mm,description_i18n,finish_i18n,composition,supplier,additional_info,material_id,coating,length_mm
2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0004, 'Cr': 0.17, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.412, 'Mo': 0.015, 'N': 0.0037, 'Nb': 0.002, 'Ni': 0.024, 'P': 0.0102, 'Si': 0.219, 'Sn': 0.003, 'STA': 0, 'Ti': 0.00232, 'V': 0.002, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",33b4266acdd32224d8d2bfcf8fb32deb,,
2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",62abde7977bd44592346ae87ce251091,,
2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",62abde7977bd44592346ae87ce251091,,
2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0004, 'Cr': 0.17, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.412, 'Mo': 0.015, 'N': 0.0037, 'Nb': 0.002, 'Ni': 0.024, 'P': 0.0102, 'Si': 0.219, 'Sn': 0.003, 'STA': 0, 'Ti': 0.00232, 'V': 0.002, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",a569ea6ca7b521ffa2c0b2b52032ca03,,
,DX51D,1.5,1350.0,{'en': 'Material is Oiled '},{'de': 'Ma-C'},{},source2,"{'additional': None, 'article_id': None}",f32874924930f6508f00395572c36e6b,Z140,2850.0
,DX51D,1.5,1350.0,{'en': 'Material is Oiled '},{'de': 'Ma-C'},{},source2,"{'additional': None, 'article_id': None}",f32874924930f6508f00395572c36e6b,Z140,2850.0
,DX51D,1.5,1350.0,{'en': 'Material is Oiled '},{'de': 'Ma-C'},{},source2,"{'additional': None, 'article_id': None}",f32874924930f6508f00395572c36e6b,Z140,2850.0
,DX51D,1.5,1350.0,{'en': 'Material is Oiled '},{'de': 'Ma-C'},{},source2,"{'additional': None, 'article_id': None}",f32874924930f6508f00395572c36e6b,Z140,2850.0
,DX51D,1.5,1350.0,{'en': 'Material is Oiled '},{'de': 'Ma-C'},{},source2,"{'additional': None, 'article_id': None}",f32874924930f6508f00395572c36e6b,Z140,2850.0
,DX51D,1.5,1350.0,{'en': 'Material is Oiled '},{'de': 'Ma-C'},{},source2,"{'additional': None, 'article_id': None}",f32874924930f6508f00395572c36e6b,Z140,2850.0
,DX51D,1.5,1350.0,{'en': 'Material is Oiled '},{'de': 'Ma-C'},{},source2,"{'additional': None, 'article_id': None}",f32874924930f6508f00395572c36e6b,Z140,2850.0
,DX51D,1.5,1350.0,{'en': 'Material is Oiled '},{'de': 'Ma-C'},{},source2,"{'additional': None, 'article_id': None}",f32874924930f6508f00395572c36e6b,Z140,2850.0
,DX51D,1.5,1350.0,{'en': 'Material is Oiled '},{'de': 'Ma-C'},{},source2,"{'additional': None, 'article_id': None}",f32874924930f6508f00395572c36e6b,Z140,2850.0
,DX51D,1.5,1350.0,{'en': 'Material is Oiled '},{'de': 'Ma-C'},{},source2,"{'additional': None, 'article_id': None}",f32874924930f6508f00395572c36e6b,Z140,2850.0
,DX51D,1.5,1350.0,{'en': 'Material is Oiled '},{'de': 'Ma-C'},{},source2,"{'additional': None, 'article_id': None}",f32874924930f6508f00395572c36e6b,Z140,2850.0
,DX51D,1.0,1250.0,{'de': '24-32 mu'},{'de': 'Ma-C'},{},source2,"{'additional': 'AFP', 'article_id': None}",bf9fb8ec9299044e4fdd2b23fd9f7e06,AZ150,
,DX51D,1.0,1250.0,{'de': '7/11zu'},{'de': 'Ma-C'},{},source2,"{'additional': 'AFP', 'article_id': None}",f7c3dd34d9bca49105b0fb566ae377c8,AZ150,
,DX51D,1.0,1250.0,{'de': '21/23zu'},{'de': 'Ma-C'},{},source2,"{'additional': 'AFP', 'article_id': None}",e06171eacff9e05129fc6bc5ca7c1a0a,AZ150,
,DX51D,1.0,1250.0,{'de': '17/20zu'},{'de': 'Ma-C'},{},source2,"{'additional': 'AFP', 'article_id': None}",2f5ea65a60df2634ff7c817d2d7bdb26,AZ150,
,DX51D,1.0,1250.0,{'de': '11/13zu'},{'de': 'Ma-C'},{},source2,"{'additional': 'AFP', 'article_id': None}",6ddc89f0bfac4d7fd7c0ee30f317ec43,AZ150,
,DX51D,1.0,1250.0,{'de': '17-26 mu breedte 1258'},{'de': 'Ma-C'},{},source2,"{'additional': 'AFP', 'article_id': None}",7af1ad4135316cd1b4cddf2dff455112,AZ150,
,DX51D,1.0,1250.0,{'de': nan},{'de': 'Ma-C'},{},source2,"{'additional': 'AFP', 'article_id': None}",60363dfbd697a395c1614f99158f5f5c,AZ150,
,DX51D,1.0,1250.0,{'de': '20-26 MU'},{'de': 'Ma-C'},{},source2,"{'additional': 'AFP', 'article_id': None}",1eb66e838673c97b3c414f30f3cd5501,AZ150,
,S235JR,1.75,1250.0,{},{'de': 'geolied'},{},source2,"{'additional': None, 'article_id': None}",6858febdc4eae84b8e331bd004ceedb2,,
